plotID,ExposedRock,InundatedRock,ExposedSand,InundatedSand,ExposedCobble,InundatedCobble,ExposedBlackMat,InundatedBlackMat,ExposedOrangeMat,InundatedOrangeMat,ExposedMoss,InundatedMoss,InundatedOrangePinkMat,ExposedBlackRed,InundatedBlackRed,ExposedBlackOrangeRed,InundatedBlackOrangeRed,DryBlackOrangeMat,InundatedBlackOrangeMat,ExposedSandyOrange,InundatedSandyOrange,ExposedBlackOrangeMat,ExposedSandyBlack,ExposedBlackMoss,InundatedSandyBlack,method
Relict-1-20190102,0.143283582,0.029850746,0.090547264,0.03681592,0.23880597,0.107462687,0.148258706,0.073631841,0,0.028855721,0.029850746,0,0,0,0.016915423,0.049751244,0,0,0.00199005,0,0.0039801,0,0,0,0,quadrat
Relict-3-20190102,0.152525253,0.024242424,0.108080808,0.046464646,0.161616162,0.116161616,0.091919192,0.085858586,0.015151515,0.044444444,0.084848485,0,0.007070707,0.005050505,0.005050505,0.002020202,0,0,0.043434343,0,0.006060606,0,0,0,0,quadrat
McKnight-2-20190112,0.207650273,0.016393443,0.053551913,0.040437158,0.172677596,0.063387978,0.21420765,0.096174863,0,0.010928962,0,0,0.076502732,0.003278689,0.012021858,0.005464481,0,0,0.010928962,0,0.016393443,0,0,0,0,quadrat
Bowles-1-20190115,0.155555556,0.05,0.05,0.043333333,0.23,0.094444444,0.09,0.052222222,0.027777778,0.036666667,0.072222222,0,0,0.002222222,0.022222222,0,0.003333333,0,0.05,0.003333333,0.016666667,0,0,0,0,quadrat
Crescent-2-20190116,0.223333333,0.05,0.054444444,0.023333333,0.211111111,0.041111111,0.138888889,0.081111111,0.016666667,0.01,0,0,0.067777778,0.011111111,0.012222222,0,0,0,0.024444444,0.008888889,0.025555556,0,0,0,0,quadrat
Bowles-1-20190115,0.102564102,0.043589744,0.064102564,0.038461538,0.115384616,0.048717949,0.171794872,0.130769231,0,0.023076923,0,0,0,0,0,0,0,0,0.205128205,0,0,0.012820513,0.010256411,0,0.033333333,pointIntercept
Crescent-2-20190116,0.141025641,0.005128205,0.046153846,0.033333333,0.238461538,0.066666667,0.212820513,0.048717949,0,0,0,0,0,0,0,0,0,0,0.048717949,0,0.125641026,0,0.005128205,0,0.028205128,pointIntercept
McKnight-2-20190112,0.146153846,0.061538462,0.125641026,0.094871795,0.069230769,0.141025641,0,0.015384615,0,0.125641026,0.005128205,0,0,0,0,0,0,0,0.012820513,0.030769231,0.164102564,0,0.005128206,0,0.002564103,pointIntercept
Relict-1-20190102,0.197435897,0,0.102564103,0,0.343589744,0,0.356410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pointIntercept
Relict-3-20190102,0.143589744,0,0.161538462,0.017948718,0.451282051,0.007692308,0.143589743,0.056410256,0.002564103,0.007692308,0.007692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pointIntercept