plotID,ExposedRock,InundatedRock,ExposedSand,InundatedSand,ExposedCobble,InundatedCobble,ExposedBlackMat,InundatedBlackMat,ExposedOrangeMat,InundatedOrangeMat,ExposedMoss,ExposedSandyOrange,InundatedSandyOrange,method
Relict-1-20190102,0.143283582,0.029850746,0.090547264,0.03681592,0.23880597,0.107462687,0.19800995,0.094527364,0,0.028855721,0.029850746,0,0.0039801,quadrat
Relict-3-20190102,0.152525253,0.024242424,0.108080808,0.046464646,0.161616162,0.116161616,0.098989899,0.177777777,0.015151515,0.051515151,0.084848485,0,0.006060606,quadrat
McKnight-2-20190112,0.207650273,0.016393443,0.053551913,0.040437158,0.172677596,0.063387978,0.22295082,0.130054645,0,0.087431694,0,0,0.016393443,quadrat
Bowles-1-20190115,0.155555556,0.05,0.05,0.043333333,0.23,0.094444444,0.092222222,0.18111111,0.027777778,0.036666667,0.072222222,0.003333333,0.016666667,quadrat
Crescent-2-20190116,0.223333333,0.05,0.054444444,0.023333333,0.211111111,0.041111111,0.15,0.142222221,0.016666667,0.077777778,0,0.008888889,0.025555556,quadrat
Bowles-1-20190115,0.102564102,0.043589744,0.064102564,0.038461538,0.115384616,0.048717949,0.194871796,0.607692307,0,0.023076923,0,0,0,pointIntercept
Crescent-2-20190116,0.141025641,0.005128205,0.046153846,0.033333333,0.238461538,0.066666667,0.217948718,0.202564103,0,0,0,0,0.125641026,pointIntercept
McKnight-2-20190112,0.146153846,0.061538462,0.125641026,0.094871795,0.069230769,0.141025641,0.005128206,0.046153847,0,0.125641026,0.005128205,0.030769231,0.164102564,pointIntercept
Relict-1-20190102,0.197435897,0,0.102564103,0,0.343589744,0,0.356410256,0,0,0,0,0,0,pointIntercept
Relict-3-20190102,0.143589744,0,0.161538462,0.017948718,0.451282051,0.007692308,0.143589743,0.056410256,0.002564103,0.007692308,0.007692308,0,0,pointIntercept