plotID,ExposedBlackMat,ExposedBlackOrangeMat,ExposedSandyBlack,ExposedCobble,ExposedMoss,ExposedOrangeMat,ExposedRock,ExposedSand,ExposedSandyOrange,ExposedBlackMoss,InundatedBlackMat,InundatedBlackOrangeMat,InundatedSandyBlack,InundatedCobble,InundatedOrangeMat,InundatedOrangePinkMat,InundatedRock,InundatedSand,InundatedSandyOrange
Bowles-1-20181230,0.130769231,0.002564103,0,0.169230769,0,0,0.133333333,0.020512821,0,0,0.215384615,0.056410256,0,0.143589744,0.025641026,0.030769231,0.023076923,0.048717949,0
Bowles-1-20190115,0.171794872,0.012820513,0.010256411,0.115384616,0,0,0.102564102,0.064102564,0,0,0.130769231,0.205128205,0.033333333,0.048717949,0.023076923,0,0.043589744,0.038461538,0
Bowles-1-20190125,0.205655527,0.208226221,0.120822622,0.23907455,0.01285347,0.002570694,0.149100257,0.030848329,0.007712082,0.002570694,0.002570694,0.017994859,0,0,0,0,0,0,0
Bowles-2-20181230,0.146153846,0.007692308,0,0.230769231,0.023076923,0,0.08974359,0.08974359,0,0,0.138461538,0.030769231,0,0.117948718,0.033333333,0.053846154,0.015384615,0.023076923,0
Bowles-2-20190115,0.194871795,0.015384615,0.002564103,0.151282051,0.035897436,0.005128205,0.097435897,0.166666667,0,0,0.053846154,0.148717949,0.005128205,0.030769231,0.061538462,0,0.020512821,0.007692308,0.002564103
Crescent-1-20190116,0.069230769,0.002564103,0,0.125641026,0,0,0.123076923,0,0,0,0.120512821,0.087179487,0.030769231,0.125641026,0.01025641,0,0.023076923,0.048717949,0.233333333
Crescent-2-20190105,0.264102564,0.002564103,0,0.220512821,0,0.002564103,0.151282051,0.156410256,0,0,0.061538462,0.01025641,0,0.002564103,0.038461538,0,0.002564103,0.087179487,0
Crescent-2-20190116,0.212820513,0,0.005128205,0.238461538,0,0,0.141025641,0.046153846,0,0,0.048717949,0.048717949,0.028205128,0.066666667,0,0,0.005128205,0.033333333,0.125641026
McKnight-2-20181231,0,0.01025641,0,0.338461538,0.002564103,0.015384615,0.187179487,0.064102564,0,0,0,0,0,0.176923077,0.125641026,0,0.046153846,0.033333333,0
McKnight-2-20190112,0,0,0.005128206,0.069230769,0.005128205,0,0.146153846,0.125641026,0.030769231,0,0.015384615,0.012820513,0.002564103,0.141025641,0.125641026,0,0.061538462,0.094871795,0.164102564
Relict-1-20190102,0.356410256,0,0,0.343589744,0,0,0.197435897,0.102564103,0,0,0,0,0,0,0,0,0,0,0
Relict-1-20190112,0.343589744,0,0.002564103,0.282051282,0,0,0.217948718,0.148717949,0.005128206,0,0,0,0,0,0,0,0,0,0
Relict-3-20190102,0.143589743,0,0,0.451282051,0.007692308,0.002564103,0.143589744,0.161538462,0,0,0.056410256,0,0,0.007692308,0.007692308,0,0,0.017948718,0
Relict-3-20190112,0.11025641,0.025641027,0.030769231,0.335897436,0,0.023076923,0.179487179,0.233333334,0.061538462,0,0,0,0,0,0,0,0,0,0
Relict-3-20190117,0.143589744,0.002564103,0.007692308,0.235897436,0.01025641,0,0.192307692,0.146153846,0,0,0.033333333,0.051282051,0.005128205,0.035897436,0.002564103,0,0.025641026,0.005128205,0.102564103